shot,nped,nwidth,rmse,filename,status,time
83961,3.19386018290625,0.0409912269798269,0.218271773492884,ne@3000.fig,success,3.0
83961,3.19579696430522,0.0445848274323989,0.239526301371557,ne@3001.fig,success,3.001
83961,3.2671985451769,0.041333912606428,0.262031479657006,ne@3002.fig,success,3.002
83961,3.24486977773774,0.0316741511899568,0.226705565145107,ne@3003.fig,success,3.003
83961,3.25022717102746,0.0510325695205585,0.246311402631266,ne@3004.fig,success,3.004
83961,3.25149053893971,0.051543927127749,0.215111240511733,ne@3005.fig,success,3.005
83961,3.41426333720591,0.0570530948349089,0.204142868822246,ne@3006.fig,success,3.006
83961,3.32983685342162,0.0712127519941271,0.290174883513491,ne@3007.fig,success,3.007
83961,3.37082692515935,0.0608918609698891,0.195981695259082,ne@3008.fig,success,3.008
83961,3.34609825026961,0.0714262235121567,0.225470788068931,ne@3009.fig,success,3.009
83961,3.42324221212614,0.0611120795134096,0.195593142061947,ne@3010.fig,success,3.01
83961,3.39115716703993,0.0491810837995734,0.205439680236309,ne@3011.fig,success,3.011
83961,3.41953680899432,0.049877478243066,0.166672348979395,ne@3012.fig,success,3.012
83961,3.36794872868114,0.0642745851797448,0.118107775762399,ne@3013.fig,success,3.013
83961,3.30605712426944,0.0389607262690789,0.211697289221807,ne@3014.fig,success,3.014
83961,3.37724822068861,0.050269749742215,0.217041239839982,ne@3015.fig,success,3.015
83961,3.24535735108265,0.0545909906694963,0.223291114070987,ne@3017.fig,success,3.017
83961,3.36703954135244,0.0543466240898545,0.236528465257894,ne@3018.fig,success,3.018
83961,3.40367756007643,0.0603464620205675,0.179572613847499,ne@3019.fig,success,3.019
83961,3.39203640187599,0.0579520911138775,0.188456818855105,ne@3020.fig,success,3.02
83961,3.43383852529125,0.0666316797298719,0.165765567318872,ne@3021.fig,success,3.021
83961,3.40637294802767,0.0662415596138406,0.182067243760347,ne@3022.fig,success,3.022
83961,3.46712972126207,0.0606445537795904,0.219526435293923,ne@3023.fig,success,3.023
83961,3.3866487990192,0.0533209106075762,0.174456364464796,ne@3024.fig,success,3.024
83961,3.38367588629146,0.0553688349529425,0.147943611078171,ne@3025.fig,success,3.025
83961,3.37389776076581,0.0605475381782121,0.216332692006045,ne@3026.fig,success,3.026
83961,3.34413668418649,0.0549390972412381,0.221430002866798,ne@3027.fig,success,3.027
83961,3.36014660948752,0.0471899678616776,0.22090072250905,ne@3028.fig,success,3.028
83961,3.27882944400184,0.0491790329179779,0.243783269700069,ne@3029.fig,success,3.029
83961,3.33675155259867,0.0546542697912677,0.286732833790871,ne@3030.fig,success,3.03
83961,3.62526577063579,0.0819708798261398,0.241049205127595,ne@3031.fig,success,3.031
83961,3.49740451709019,0.0579867861234514,0.235903758099751,ne@3032.fig,success,3.032
83961,3.33894782733796,0.0595632748693317,0.211718338090756,ne@3033.fig,success,3.033
83961,3.36440082049661,0.0490699383444303,0.246278387020622,ne@3034.fig,success,3.034
83961,3.49564252732814,0.0616847262103238,0.269521792448251,ne@3035.fig,success,3.035
83961,3.37312866426203,0.0566545964061282,0.232888442827411,ne@3036.fig,success,3.036
83961,3.26543608106774,0.038119016334562,0.205973169815085,ne@3037.fig,success,3.037
83961,3.57848343691776,0.0626421621954601,0.152151084110804,ne@3038.fig,success,3.038
83961,3.45586805230331,0.0542514320555669,0.267551433105403,ne@3039.fig,success,3.039
83961,3.54741936989897,0.0657161505226468,0.245790286987623,ne@3040.fig,success,3.04
83961,3.54267030754355,0.0612518137292633,0.230919552553764,ne@3041.fig,success,3.041
83961,3.70284528769254,0.0625166441883635,0.258389146416797,ne@3044.fig,success,3.044
83961,3.70248474948711,0.0601116722985943,0.236890056376375,ne@3045.fig,success,3.045
83961,3.56698562292727,0.0408447150123498,0.143265981002656,ne@3046.fig,success,3.046
83961,3.76745555301633,0.0544359178954187,0.220469905869688,ne@3047.fig,success,3.047
83961,3.800774039794,0.0570260481667992,0.234570750557936,ne@3048.fig,success,3.048
83961,3.83155230243256,0.0592973950026463,0.166283399852648,ne@3049.fig,success,3.049
83961,3.88660059400126,0.0718041902565763,0.263365451459631,ne@3050.fig,success,3.05
83961,3.77895381987952,0.0622943044035065,0.225979578455672,ne@3051.fig,success,3.051
83961,3.63322192798487,0.0508604295573834,0.167562527809988,ne@3052.fig,success,3.052
83961,3.63284683121595,0.0549422397445378,0.157611393882404,ne@3053.fig,success,3.053
83961,3.75760225239336,0.0594762623932689,0.225009136254945,ne@3054.fig,success,3.054
83961,3.79288893085345,0.0689989353933317,0.218828083494244,ne@3055.fig,success,3.055
83961,3.80478738703596,0.0508989792406703,0.270506017770354,ne@3056.fig,success,3.056
83961,3.66653165163199,0.0433422022065355,0.222939778751459,ne@3057.fig,success,3.057
83961,3.69363332252022,0.068798134846612,0.11746784613055,ne@3058.fig,success,3.058
83961,4.04054428079655,0.0624359974481143,0.270161993775204,ne@3059.fig,success,3.059
83961,3.98826729763509,0.0540873363206431,0.185958070861702,ne@3060.fig,success,3.06
83961,3.96128019068952,0.0740290689589615,0.221477220354064,ne@3061.fig,success,3.061
83961,3.93646178688134,0.0766293080721664,0.175891586743654,ne@3062.fig,success,3.062
83961,3.77510864567724,0.0581080257292023,0.169455583251503,ne@3063.fig,success,3.063
83961,3.73442515119135,0.0792574498863991,0.136896691663185,ne@3064.fig,success,3.064
83961,3.92555333405518,0.0671976488174858,0.225777536378589,ne@3066.fig,success,3.066
83961,3.97120339546406,0.0666121876114951,0.169699571198266,ne@3067.fig,success,3.067
83961,4.05673243038566,0.0599944413840252,0.220873877233377,ne@3068.fig,success,3.068
83961,3.83286259651938,0.0584334994305118,0.15329939111086,ne@3069.fig,success,3.069
83961,4.01406144819923,0.0677670374913949,0.252744999592102,ne@3071.fig,success,3.071
83961,4.11818155483358,0.084974258613347,0.26387061215104,ne@3072.fig,success,3.072
83961,3.77619608485544,0.0630582274539351,0.213195986706125,ne@3074.fig,success,3.074
83961,4.12803347369636,0.0674213190156951,0.268080141441879,ne@3075.fig,success,3.075
83961,4.06759349162788,0.067974671466578,0.199890357115314,ne@3076.fig,success,3.076
83961,4.03193932914634,0.0697927648249527,0.25210756305873,ne@3077.fig,success,3.077
83961,4.11452992404066,0.0638385812664499,0.177201443243866,ne@3078.fig,success,3.078
83961,4.16305692225746,0.0773868881604597,0.248874994178915,ne@3079.fig,success,3.079
83961,4.16529011531692,0.0676073111542177,0.255808491345872,ne@3081.fig,success,3.081
83961,4.17934765948355,0.0708016508345409,0.199016058042613,ne@3082.fig,success,3.082
83961,4.37970697876672,0.118951971167415,0.16454379839135,ne@3083.fig,success,3.083
83961,4.1320471576778,0.0876478231403959,0.267309588264801,ne@3084.fig,success,3.084
