shot	nped	nwidth	rmse	filename	status
83961	2.25761887688066	0.0226838030310649	0.154302789304414	ne@2920.fig	success
83961	2.5259106105653	0.0418867223906903	0.139337815234993	ne@2921.fig	success
83961	2.60564512331674	0.0303423601778657	0.0919653670841135	ne@2922.fig	success
83961	2.58118355199596	0.0316137568110668	0.0845092703965448	ne@2923.fig	success
83961	2.65709923657758	0.0642731479453983	0.114738469846746	ne@2924.fig	success
83961	2.62029053372269	0.054060169371884	0.129980565366322	ne@2925.fig	success
83961	2.54601414191018	0.0212292923909708	0.0851574023023283	ne@2926.fig	success
83961	2.65043601310393	0.0487987788341315	0.0684389384680174	ne@2927.fig	success
83961	2.55037726423239	0.0412017634179684	0.130852076556845	ne@2928.fig	success
83961	2.70270345726579	0.015729712837875	0.361052886211815	ne@2929.fig	success
83961	2.60666903134797	0.0255610480742043	0.162304948521774	ne@2930.fig	success
83961	2.67773268700456	0.0424130226845192	0.106773802936619	ne@2931.fig	success
83961	2.84248293875618	0.021068471871396	0.369823093662156	ne@2932.fig	success
83961	2.62419728196672	0.0391774309289701	0.166503972370937	ne@2933.fig	success
83961	2.66103858759008	0.0459032755681335	0.176518425582883	ne@2934.fig	success
83961	2.69823485560435	0.0521124372923646	0.123738441107665	ne@2935.fig	success
83961	2.89446561882115	0.0176682932682704	0.388806019662832	ne@2936.fig	success
83961	2.72124701388037	0.0430997128691133	0.207941520196473	ne@2937.fig	success
83961	2.68983984963729	0.0471887457316896	0.142850051517178	ne@2938.fig	success
83961	2.71742416217958	0.0415216579589664	0.180738332985811	ne@2939.fig	success
83961	2.8166613588997	0.0810030810901016	0.115462019523596	ne@2940.fig	success
83961	2.78432782817337	0.0456599467004752	0.163046844315611	ne@2941.fig	success
83961	2.79296551657099	0.046943613434554	0.189746199688719	ne@2942.fig	success
83961	2.71395592426417	0.0416790576107298	0.15999404800455	ne@2943.fig	success
83961	2.70293694349906	0.0499275981315482	0.224231576094623	ne@2944.fig	success
83961	2.88623249970051	0.0427187689968284	0.225736943806253	ne@2945.fig	success
83961	2.87938519549488	0.050823410764822	0.273937872230195	ne@2946.fig	success
83961	2.78996759752173	0.0540168665597122	0.0826998499766139	ne@2947.fig	success
83961	2.86250105610035	0.0343593770574404	0.2766135760675	ne@2948.fig	success
83961	2.78308440482823	0.0722888861786491	0.287757473042206	ne@2949.fig	success
83961	2.73920380086952	0.0535109419020701	0.126950400232948	ne@2950.fig	success
83961	2.92131788240386	0.0661081185273855	0.205257614685271	ne@2951.fig	success
83961	2.92905823258381	0.0419786785043548	0.351560774889203	ne@2952.fig	success
83961	2.94915959590176	0.0376301596260439	0.399767896144201	ne@2953.fig	success
83961	2.76699419688449	0.058213107710137	0.0643428996913653	ne@2954.fig	success
83961	2.98256105142168	0.0337780052340669	0.2371717601992	ne@2955.fig	success
83961	3.26499969013494	0.0167601576744321	0.517320520005203	ne@2956.fig	success
83961	2.98047746404479	0.0588972086560786	0.122720703461859	ne@2957.fig	success
83961	2.81827149463755	0.0481437287596177	0.22377738872168	ne@2958.fig	success
83961	3.07692995039212	0.0194328657687987	0.456787844832185	ne@2959.fig	success
83961	2.94804612720047	0.0409640314628959	0.153440085489868	ne@2960.fig	success
83961	3.01776806690778	0.0358694708457718	0.188167690429632	ne@2961.fig	success
83961	2.78971488578212	0.0648515445949696	0.201675948715236	ne@2962.fig	success
83961	3.03763023299578	0.0273708109652042	0.141661065424423	ne@2963.fig	success
83961	3.08672291711675	0.0527051714106844	0.236977851029272	ne@2964.fig	success
83961	2.77977464291955	0.0317890855299587	0.123263966818664	ne@2965.fig	success
83961	2.97626737307312	0.052385114303101	0.238624780506155	ne@2966.fig	success
83961	2.93490528929181	0.0344720823371426	0.205253321356802	ne@2967.fig	success
83961	3.10387067891101	0.0389854225896251	0.170254898454416	ne@2968.fig	success
83961	3.06490010250498	0.0416491506086556	0.0994839534883369	ne@2969.fig	success
83961	3.08429954938017	0.0401001335881674	0.173557792115747	ne@2970.fig	success
83961	2.83928314097674	0.0564447525711101	0.130630081920135	ne@2971.fig	success
83961	3.17121127932771	0.0330545795579532	0.440776905481427	ne@2972.fig	success
83961	3.10289607581796	0.0260997015989371	0.221957091421293	ne@2973.fig	success
83961	3.12213783755333	0.0341485399669968	0.147052627398473	ne@2974.fig	success
83961	3.1238009483765	0.0532755881665384	0.227863453153201	ne@2975.fig	success
83961	2.98261560822592	0.0440762135228845	0.0906386853425173	ne@2976.fig	success
83961	3.11807438528881	0.0615897743904873	0.169251961494147	ne@2977.fig	success
83961	3.14189426944145	0.0341096965162743	0.236473787632969	ne@2978.fig	success
83961	3.02836576004018	0.0446630707096865	0.181617027712069	ne@2979.fig	success
83961	3.1500108331857	0.0495696886819485	0.219187504932863	ne@2980.fig	success
83961	3.09333967968354	0.0493817431660726	0.292295955695959	ne@2981.fig	success
83961	3.16645235897264	0.0449664701151811	0.237829412953737	ne@2982].fig	success
83961	3.12993153432341	0.0483387817238251	0.213372407338473	ne@2983.fig	success
83961	3.16917721504582	0.057325014796817	0.176813295468131	ne@2984.fig	success
83961	3.07964239571356	0.0405601641962292	0.254574218608703	ne@2985.fig	success
83961	-0.528689905936696	0.646473417973594	0.583716796755806	ne@2986.fig	success
83961	2.90539813814827	0.0549109869965067	0.104955614340752	ne@2987.fig	success
83961	3.11755887851724	0.0388434042681474	0.171829623454637	ne@2988.fig	success
83961	3.27454429983952	0.0483781118198741	0.169102988830668	ne@2989.fig	success
83961	3.16734866309948	0.0561343789450486	0.226183866195183	ne@2990.fig	success
83961	3.08473340929987	0.0475771654838353	0.250298482705914	ne@2991.fig	success
83961	3.35101599967239	0.0572872033948126	0.243011969105056	ne@2992.fig	success
83961	3.1512545878958	0.0563134575195483	0.180987728056249	ne@2993.fig	success
83961	3.21057392631233	0.0333692874809575	0.180781704918148	ne@2994.fig	success
83961	3.61719065759109	0.0166021915441709	0.507374071065559	ne@2995.fig	success
83961	3.2709721175457	0.0586081924201074	0.272438210118594	ne@2996.fig	success
83961	3.22651782934021	0.046317299196295	0.192675014115847	ne@2997.fig	success
